student_idx,item_idx,correct,t,delta_t
5,2,0,36,2
5,0,0,37,1
5,0,0,38,40
5,4,0,39,1
6,2,0,0,3
6,2,1,1,1
6,4,0,2,1
6,4,0,3,1
6,3,1,4,1
6,3,1,5,3
6,4,0,6,1
6,4,0,7,2
6,2,0,8,1
6,3,1,9,1
6,0,1,10,3
6,4,0,11,2
6,4,0,12,3
6,2,1,13,1
6,0,1,14,1
6,3,0,15,2
6,4,0,16,2
6,0,1,17,2
6,3,0,18,3
6,4,0,19,2
6,4,0,20,3
6,0,0,21,3
6,1,0,22,1
6,2,0,23,2
6,4,1,24,3
6,1,1,25,1
6,0,0,26,1
6,2,1,27,1
6,0,1,28,2
6,0,0,29,3
6,3,1,30,40
6,0,0,31,3
6,3,1,32,1
6,2,0,33,2
6,1,1,34,3
6,4,0,35,1
6,2,1,36,1
6,2,0,37,2
6,2,0,38,3
6,3,1,39,3
7,1,0,0,2
7,1,0,1,2
7,0,0,2,2
7,1,0,3,1
7,1,1,4,3
7,0,0,5,3
7,2,0,6,2
7,1,0,7,2
7,1,0,8,3
7,1,0,9,2
7,1,0,10,40
7,2,1,11,1
7,1,1,12,3
7,4,1,13,1
7,3,1,14,1
7,0,1,15,1
7,0,0,16,2
7,3,1,17,3
7,3,1,18,2
7,2,1,19,2
7,3,0,20,1
7,4,0,21,1
7,4,1,22,3
7,3,0,23,3
7,3,1,24,1
7,1,0,25,2
7,2,0,26,1
7,3,1,27,2
7,0,1,28,3
7,0,0,29,3
7,1,0,30,1
7,4,0,31,2
7,0,0,32,1
7,3,0,33,2
7,1,1,34,2
7,1,1,35,2
7,2,0,36,2
7,4,1,37,2
7,4,1,38,2
7,0,0,39,3
8,0,0,0,3
8,1,1,1,3
8,2,0,2,1
8,4,0,3,40
8,2,1,4,1
8,3,0,5,1
8,3,1,6,3
8,4,1,7,2
8,0,1,8,2
8,4,0,9,1
8,2,1,10,2
8,0,1,11,1
8,4,0,12,3
8,4,0,13,1
8,0,1,14,3
8,4,0,15,2
8,1,1,16,2
8,0,0,17,1
8,3,1,18,40
8,4,1,19,2
8,3,0,20,1
8,3,0,21,1
8,0,0,22,1
8,3,1,23,3
8,1,1,24,3
8,1,0,25,2
8,1,1,26,40
8,3,1,27,3
8,4,1,28,1
8,4,1,29,3
8,4,1,30,1
8,4,0,31,2
8,3,0,32,3
8,0,1,33,2
8,2,0,34,2
8,1,1,35,1
8,3,0,36,2
8,1,0,37,3
8,4,1,38,1
8,2,1,39,3
9,3,1,0,3
9,2,1,1,1
9,1,0,2,2
9,1,0,3,1
9,2,0,4,1
9,2,0,5,2
9,4,0,6,2
9,4,0,7,3
9,1,1,8,3
9,0,1,9,3
9,1,1,10,2
9,1,1,11,1
9,2,1,12,3
9,2,1,13,2
9,4,0,14,3
9,3,0,15,40
9,1,1,16,3
9,0,0,17,3
9,0,0,18,2
9,3,1,19,40
9,0,1,20,2
9,3,1,21,2
9,4,0,22,1
9,4,0,23,40
9,1,0,24,1
9,0,1,25,3
9,3,0,26,2
9,1,1,27,2
9,1,1,28,1
9,2,0,29,3
9,2,0,30,1
9,2,1,31,1
9,1,1,32,1
9,3,1,33,2
9,2,0,34,3
9,1,0,35,3
9,4,0,36,3
9,2,1,37,2
9,4,0,38,3
9,3,1,39,1
10,4,0,0,3
10,2,1,1,1
10,1,1,2,40
10,1,1,3,3
10,2,1,4,40
10,4,0,5,2
10,0,0,6,1
10,0,1,7,1
10,3,1,8,1
10,1,0,9,1
10,4,0,10,2
10,3,0,11,1
10,1,0,12,1
10,2,1,13,1
10,4,0,14,3
10,4,0,15,2
10,3,1,16,3
10,2,0,17,2
10,2,0,18,3
10,0,0,19,2
10,1,1,20,3
10,3,1,21,3
10,4,0,22,2
10,3,0,23,1
10,1,0,24,3
10,1,1,25,2
10,2,1,26,1
10,4,1,27,2
10,2,0,28,1
10,2,1,29,2
10,2,0,30,3
10,3,0,31,2
10,3,1,32,1
10,2,1,33,40
10,2,0,34,1
10,3,1,35,2
10,3,1,36,2
10,3,0,37,2
10,2,0,38,3
10,0,0,39,3
11,3,0,0,1
11,2,0,1,2
11,0,1,2,2
11,3,1,3,1
11,3,1,4,2
11,0,1,5,3
11,1,0,6,1
11,4,1,7,3
11,3,0,8,2
11,1,1,9,1
11,3,0,10,1
11,4,0,11,2
11,2,0,12,2
11,2,0,13,3
11,1,1,14,3
11,2,0,15,3
11,3,1,16,1
11,0,1,17,1
11,3,0,18,1
11,1,1,19,3
11,2,1,20,3
11,2,0,21,1
11,2,0,22,3
11,2,0,23,3
11,0,0,24,1
11,2,1,25,2
11,2,0,26,3
11,1,0,27,2
11,0,1,28,2
11,4,1,29,2
11,3,1,30,1
11,0,1,31,3
11,4,0,32,3
11,3,1,33,1
11,3,0,34,40
11,3,1,35,3
11,2,0,36,1
11,0,0,37,2
11,0,1,38,2
11,0,1,39,1
12,3,0,0,3
12,0,0,1,40
12,3,0,2,40
12,3,0,3,1
12,0,0,4,1
12,1,1,5,1
12,3,1,6,40
12,2,0,7,3
12,1,0,8,2
12,1,1,9,3
12,0,1,10,2
12,4,1,11,1
12,0,0,12,3
12,3,1,13,2
12,0,0,14,3
12,4,0,15,2
12,1,1,16,2
12,4,0,17,3
12,4,0,18,1
12,3,0,19,2
12,2,0,20,3
12,2,0,21,2
12,1,0,22,2
12,2,0,23,3
12,1,1,24,3
12,4,1,25,2
12,2,0,26,3
12,4,1,27,3
12,4,0,28,1
12,1,1,29,3
12,0,0,30,3
12,2,0,31,3
12,0,0,32,3
12,3,1,33,2
12,1,1,34,3
12,3,1,35,3
12,3,1,36,1
12,3,1,37,1
12,0,1,38,40
12,3,1,39,3
13,0,0,0,1
13,2,0,1,1
13,4,0,2,2
13,1,1,3,1
13,2,1,4,2
13,3,0,5,3
13,0,0,6,2
13,1,0,7,3
13,3,0,8,40
13,1,0,9,3
13,3,0,10,1
13,4,1,11,2
13,0,0,12,2
13,0,1,13,2
13,0,0,14,2
13,2,0,15,2
13,0,0,16,3
13,2,0,17,2
13,1,0,18,40
13,4,0,19,1
13,2,1,20,40
13,4,1,21,1
13,0,1,22,2
13,1,0,23,3
13,2,1,24,3
13,1,1,25,1
13,4,0,26,1
13,4,0,27,2
13,0,0,28,2
13,3,0,29,3
13,2,0,30,2
13,4,1,31,1
13,3,1,32,1
13,1,0,33,3
13,4,0,34,2
13,4,1,35,3
13,2,1,36,1
13,4,1,37,1
13,2,1,38,1
13,3,0,39,1
14,3,0,0,1
14,4,0,1,2
14,3,0,2,3
14,0,0,3,2
14,4,0,4,3
14,0,0,5,1
14,1,0,6,3
14,1,0,7,2
14,3,1,8,1
14,3,1,9,1
14,0,1,10,3
14,0,1,11,2
14,4,0,12,2
14,4,0,13,3
14,3,1,14,2
14,1,0,15,2
14,1,0,16,3
14,0,0,17,2
14,2,0,18,2
14,1,0,19,3
14,4,0,20,1
14,3,0,21,1
14,3,1,22,1
14,2,0,23,40
14,1,1,24,3
14,2,0,25,2
14,1,1,26,3
14,3,0,27,40
14,4,0,28,3
14,2,0,29,3
14,3,1,30,2
14,2,1,31,2
14,2,0,32,2
14,1,0,33,3
14,0,1,34,2
14,3,1,35,3
14,1,0,36,1
14,3,0,37,2
14,4,0,38,3
14,3,0,39,3
15,1,0,0,2
15,1,1,1,1
15,1,0,2,3
15,1,0,3,1
15,2,0,4,3
15,1,0,5,2
15,0,1,6,1
15,4,0,7,2
15,2,0,8,2
15,0,0,9,3
15,4,0,10,2
15,4,0,11,2
15,3,1,12,2
15,3,1,13,1
15,2,0,14,2
15,3,0,15,3
15,1,0,16,1
15,4,1,17,2
15,0,1,18,1
15,4,1,19,2
15,3,1,20,3
15,4,0,21,1
15,3,1,22,40
15,4,0,23,3
15,3,0,24,1
15,3,1,25,40
15,1,0,26,3
15,1,1,27,2
15,3,1,28,1
15,3,1,29,2
15,2,0,30,1
15,0,1,31,1
15,3,1,32,3
15,2,0,33,2
15,2,0,34,40
15,0,0,35,3
15,0,1,36,2
15,2,1,37,2
15,1,1,38,2
15,2,0,39,3
16,4,0,0,1
16,4,0,1,1
16,4,0,2,3
16,3,0,3,1
16,3,0,4,3
16,2,0,5,40
16,0,1,6,3
16,4,0,7,2
16,0,1,8,3
16,4,0,9,1
16,0,0,10,1
16,3,1,11,40
16,0,0,12,3
16,0,1,13,2
16,0,0,14,1
16,0,1,15,1
16,1,1,16,1
16,3,0,17,1
16,2,0,18,1
16,4,0,19,3
16,2,1,20,3
16,3,1,21,1
16,4,0,22,1
16,4,0,23,1
16,3,1,24,1
16,4,1,25,40
16,0,0,26,1
16,0,0,27,40
16,0,0,28,1
16,2,0,29,2
16,4,1,30,40
16,2,1,31,2
16,2,0,32,2
16,1,1,33,1
16,0,1,34,1
16,3,0,35,3
16,4,1,36,2
16,1,1,37,2
16,0,1,38,2
16,0,1,39,2
17,0,1,0,2
17,4,1,1,2
17,1,1,2,2
17,4,0,3,1
17,3,1,4,1
17,1,1,5,3
17,3,1,6,3
17,3,0,7,3
17,0,1,8,1
17,0,1,9,3
17,1,1,10,1
17,4,1,11,3
17,1,1,12,2
17,0,1,13,3
17,0,1,14,3
17,3,1,15,40
17,2,1,16,3
17,4,0,17,1
17,4,0,18,3
17,3,1,19,1
17,3,1,20,2
17,1,0,21,3
17,3,1,22,1
17,4,0,23,2
17,3,1,24,3
17,4,0,25,40
17,3,0,26,1
17,2,0,27,1
17,3,0,28,1
17,1,0,29,3
17,1,1,30,1
17,3,1,31,1
17,0,1,32,3
17,2,0,33,3
17,1,0,34,1
17,2,1,35,1
17,0,0,36,2
17,4,0,37,1
17,2,0,38,1
17,3,1,39,1
18,4,0,0,1
18,0,1,1,2
18,1,0,2,2
18,4,0,3,1
18,4,0,4,1
18,0,1,5,3
18,3,0,6,3
18,0,1,7,40
18,3,0,8,2
18,2,0,9,1
18,3,1,10,2
18,2,0,11,2
18,2,0,12,1
18,1,0,13,2
18,1,0,14,3
18,0,1,15,1
18,4,1,16,1
18,3,1,17,1
18,3,1,18,2
18,4,0,19,1
18,2,0,20,2
18,2,1,21,2
18,3,0,22,2
18,3,0,23,3
18,1,1,24,3
18,1,1,25,3
18,4,1,26,40
18,1,0,27,3
18,1,0,28,3
18,4,1,29,2
18,1,1,30,1
18,1,1,31,1
18,2,0,32,1
18,2,0,33,1
18,4,0,34,1
18,1,1,35,2
18,0,0,36,1
18,1,0,37,1
18,1,1,38,40
18,3,1,39,2
19,0,1,0,3
19,3,1,1,1
19,0,1,2,1
19,4,0,3,1
19,3,1,4,1
19,3,0,5,1
19,1,0,6,2
19,2,1,7,1
19,3,0,8,3
19,1,0,9,2
19,4,0,10,2
19,2,1,11,1
19,3,1,12,2
19,4,1,13,2
19,4,0,14,1
19,2,1,15,1
19,3,1,16,1
19,2,1,17,3
19,1,0,18,1
19,3,0,19,3
19,3,1,20,3
19,3,1,21,2
19,0,0,22,1
19,2,0,23,3
19,4,1,24,3
19,2,0,25,40
19,2,0,26,2
19,2,1,27,1
19,4,0,28,3
19,2,0,29,3
19,2,0,30,2
19,2,0,31,3
19,2,0,32,40
19,0,1,33,3
19,2,0,34,3
19,4,0,35,3
19,1,0,36,1
19,2,0,37,40
19,4,1,38,3
19,0,0,39,2
20,1,1,0,2
20,0,0,1,1
20,1,1,2,1
20,0,0,3,2
20,1,0,4,3
20,4,1,5,3
20,2,0,6,2
20,4,1,7,1
20,3,0,8,2
20,0,0,9,3
20,4,0,10,1
20,1,0,11,3
20,1,0,12,2
20,4,0,13,2
20,2,0,14,3
20,0,0,15,3
20,3,0,16,2
20,2,1,17,3
20,2,0,18,1
20,3,0,19,3
20,4,1,20,2
20,3,0,21,2
20,4,1,22,1
20,3,1,23,2
20,4,0,24,3
20,2,0,25,1
20,3,1,26,3
20,1,1,27,3
20,3,0,28,1
20,1,1,29,3
20,2,0,30,3
20,1,1,31,3
20,4,0,32,3
20,4,0,33,3
20,1,0,34,2
20,1,0,35,2
20,2,1,36,3
20,4,0,37,1
20,3,1,38,1
20,1,1,39,2
21,4,1,0,3
21,2,1,1,2
21,2,1,2,3
21,1,0,3,3
21,3,0,4,2
21,1,1,5,1
21,1,1,6,2
21,2,1,7,1
21,1,1,8,3
21,0,1,9,1
21,1,0,10,3
21,1,1,11,3
21,2,1,12,1
21,1,1,13,3
21,0,1,14,1
21,0,1,15,40
21,1,1,16,3
21,2,1,17,1
21,3,1,18,2
21,2,1,19,2
21,0,0,20,1
21,1,1,21,1
21,2,0,22,2
21,1,1,23,2
21,1,1,24,3
21,1,0,25,40
21,1,0,26,3
21,1,0,27,2
21,4,0,28,3
21,1,1,29,3
21,0,0,30,1
21,0,1,31,2
21,0,1,32,2
21,3,0,33,1
21,3,1,34,1
21,3,1,35,2
21,0,1,36,3
21,2,0,37,3
21,0,1,38,1
21,1,0,39,3
22,4,1,0,1
22,4,1,1,2
22,1,0,2,1
22,1,0,3,1
22,1,0,4,40
22,2,0,5,3
22,1,1,6,2
22,1,1,7,2
22,2,0,8,1
22,1,1,9,1
22,2,0,10,1
22,4,1,11,3
22,4,1,12,3
22,2,0,13,1
22,3,0,14,1
22,0,0,15,2
22,0,1,16,1
22,1,1,17,1
22,1,1,18,1
22,4,1,19,3
22,0,0,20,3
22,1,0,21,1
22,3,0,22,1
22,0,1,23,1
22,1,1,24,3
22,2,0,25,2
22,2,0,26,40
22,4,1,27,2
22,2,0,28,1
22,2,0,29,2
22,0,1,30,1
22,1,1,31,2
22,4,1,32,3
22,3,0,33,3
22,3,1,34,2
22,2,0,35,1
22,4,0,36,2
22,0,1,37,1
22,4,1,38,2
22,0,1,39,2
23,3,1,0,2
23,1,0,1,1
23,0,1,2,1
23,2,1,3,3
23,2,1,4,1
23,3,1,5,2
23,4,0,6,3
23,2,0,7,2
23,3,1,8,2
23,1,1,9,3
23,1,0,10,2
23,4,0,11,2
23,4,0,12,3
23,4,1,13,3
23,1,1,14,2
23,1,1,15,2
23,2,0,16,1
23,4,1,17,1
23,4,0,18,2
23,3,1,19,2
23,4,1,20,1
23,2,0,21,1
23,3,1,22,2
23,2,0,23,2
23,0,1,24,40
23,2,0,25,40
23,3,1,26,1
23,3,0,27,3
23,2,0,28,3
23,4,1,29,1
23,4,1,30,1
23,2,0,31,1
23,3,0,32,2
23,0,0,33,3
23,4,0,34,1
23,3,0,35,2
23,4,0,36,40
23,0,1,37,1
23,0,0,38,40
23,2,0,39,1
24,4,0,0,2
24,3,1,1,3
24,0,0,2,3
24,2,1,3,1
24,1,1,4,3
24,2,0,5,2
24,2,0,6,2
24,2,0,7,1
24,1,1,8,3
24,0,1,9,1
24,2,0,10,2
24,2,1,11,3
24,4,1,12,2
24,0,1,13,2
24,2,0,14,1
24,3,1,15,2
24,0,1,16,3
24,4,0,17,3
24,4,0,18,1
24,2,1,19,2
24,3,1,20,1
24,0,0,21,1
24,1,0,22,1
24,4,0,23,2
24,4,0,24,1
24,3,1,25,1
24,4,0,26,1
24,1,0,27,1
24,3,1,28,2
24,4,0,29,3
24,1,0,30,2
24,1,1,31,1
24,3,1,32,40
24,4,0,33,3
24,2,1,34,3
24,0,1,35,3
24,1,0,36,1
24,1,0,37,40
24,0,0,38,3
24,4,1,39,3
25,2,0,0,1
25,0,0,1,1
25,0,1,2,1
25,2,0,3,2
25,0,0,4,40
25,3,0,5,2
25,0,0,6,2
25,2,0,7,3
25,3,0,8,3
25,4,1,9,2
25,0,0,10,3
25,0,1,11,2
25,3,0,12,3
25,1,1,13,40
25,3,0,14,2
25,1,1,15,2
25,4,1,16,1
25,2,0,17,1
25,4,0,18,3
25,1,1,19,3
25,0,1,20,2
25,3,1,21,1
25,4,1,22,1
25,3,1,23,1
25,2,0,24,3
25,0,0,25,1
25,3,1,26,1
25,2,0,27,40
25,0,1,28,2
25,3,1,29,1
25,0,1,30,1
25,3,0,31,3
25,2,0,32,3
25,2,0,33,2
25,1,1,34,2
25,1,0,35,3
25,0,1,36,40
25,0,0,37,1
25,4,0,38,3
25,3,0,39,1
26,0,0,0,1
26,2,0,1,1
26,4,0,2,1
26,4,0,3,2
26,4,0,4,1
26,0,0,5,2
26,0,1,6,2
26,3,0,7,3
26,3,0,8,3
26,1,1,9,3
26,0,1,10,1
26,3,0,11,2
26,3,0,12,3
26,1,0,13,3
26,1,0,14,2
26,3,0,15,1
26,0,1,16,1
26,3,0,17,1
26,0,1,18,2
26,3,1,19,3
26,1,1,20,1
26,3,0,21,2
26,4,1,22,40
26,4,0,23,3
26,4,1,24,2
26,2,1,25,1
26,2,1,26,3
26,1,0,27,40
26,0,0,28,1
26,4,1,29,3
26,0,1,30,1
26,2,0,31,1
26,1,0,32,3
26,4,1,33,3
26,2,0,34,1
26,1,1,35,1
26,3,0,36,3
26,2,0,37,1
26,0,1,38,3
26,4,1,39,1
27,2,0,0,3
27,0,1,1,3
27,1,1,2,2
27,0,0,3,1
27,0,0,4,1
27,0,0,5,2
27,4,1,6,2
27,3,0,7,2
27,0,0,8,2
27,3,1,9,3
27,1,1,10,1
27,3,1,11,1
27,1,1,12,1
27,3,1,13,40
27,4,1,14,1
27,0,1,15,2
27,1,1,16,3
27,3,0,17,1
27,2,1,18,40
27,1,0,19,40
27,2,0,20,2
27,1,1,21,1
27,4,1,22,40
27,0,0,23,40
27,2,0,24,2
27,2,0,25,1
27,4,1,26,3
27,1,1,27,2
27,1,0,28,2
27,1,0,29,40
27,3,0,30,40
27,3,0,31,1
27,1,1,32,2
27,4,0,33,3
27,3,0,34,3
27,1,1,35,3
27,3,1,36,2
27,3,0,37,1
27,1,0,38,3
27,3,1,39,1
28,4,0,0,2
28,3,1,1,40
28,3,0,2,2
28,0,1,3,2
28,3,0,4,2
28,3,0,5,2
28,2,0,6,2
28,0,0,7,3
28,0,0,8,3
28,1,1,9,3
28,0,1,10,3
28,2,0,11,2
28,1,0,12,3
28,4,0,13,1
28,1,1,14,1
28,4,0,15,3
28,2,0,16,3
28,1,1,17,3
28,1,0,18,2
28,3,1,19,3
28,3,1,20,3
28,3,1,21,40
28,0,1,22,3
28,1,1,23,3
28,1,0,24,1
28,2,1,25,2
28,2,0,26,3
28,3,0,27,3
28,3,1,28,1
28,0,0,29,40
28,0,1,30,2
28,4,1,31,2
28,4,1,32,2
28,1,1,33,3
28,2,0,34,1
28,0,0,35,2
28,1,1,36,3
28,3,1,37,2
28,4,1,38,1
28,4,1,39,3
29,3,1,0,1
29,2,1,1,1
29,4,0,2,1
29,2,0,3,3
29,2,0,4,1
29,2,0,5,3
29,1,1,6,1
29,2,0,7,2
29,1,1,8,3
29,3,0,9,1
29,4,0,10,2
29,2,0,11,3
29,4,0,12,1
29,0,0,13,3
29,0,0,14,1
29,4,0,15,1
29,0,1,16,2
29,2,0,17,1
29,2,0,18,3
29,0,0,19,2
29,0,1,20,1
29,2,0,21,40
29,4,0,22,2
29,1,1,23,1
29,3,0,24,2
29,2,0,25,3
29,1,0,26,3
29,4,0,27,1
29,3,0,28,1
29,2,0,29,1
29,4,1,30,1
29,0,1,31,1
29,3,1,32,2
29,0,1,33,2
29,2,0,34,1
29,1,1,35,3
29,4,0,36,1
29,1,0,37,3
29,2,0,38,2
29,3,0,39,3
30,0,0,0,1
30,3,1,1,2
30,1,0,2,40
30,1,1,3,1
30,0,0,4,2
30,0,1,5,2
30,3,1,6,3
30,2,0,7,2
30,1,0,8,40
30,0,1,9,2
30,3,0,10,3
30,2,0,11,1
30,0,0,12,2
30,2,0,13,3
30,4,1,14,1
30,1,0,15,3
30,3,1,16,2
30,4,0,17,3
30,0,1,18,2
30,3,0,19,2
30,4,0,20,3
30,1,1,21,3
30,4,1,22,3
30,0,0,23,3
30,4,1,24,1
30,2,1,25,3
30,2,1,26,3
30,4,1,27,1
30,0,1,28,2
30,4,1,29,2
30,3,1,30,3
30,3,0,31,3
30,3,1,32,1
30,3,1,33,40
30,2,0,34,2
30,3,1,35,3
30,1,0,36,2
30,2,0,37,2
30,2,1,38,1
30,1,0,39,2
31,2,0,0,3
31,2,0,1,40
31,4,0,2,2
31,1,1,3,3
31,1,1,4,1
31,4,0,5,3
31,2,0,6,3
31,3,1,7,1
31,3,1,8,2
31,2,0,9,2
31,2,0,10,3
31,4,0,11,2
31,0,0,12,2
31,2,1,13,1
31,4,1,14,3
31,0,0,15,2
31,1,0,16,1
31,1,0,17,3
31,3,0,18,3
31,1,0,19,1
31,0,0,20,3
31,1,1,21,3
31,2,0,22,1
31,3,1,23,2
31,3,0,24,40
31,0,1,25,2
31,4,1,26,40
31,1,0,27,1
31,1,1,28,2
31,0,0,29,2
31,0,1,30,1
31,4,0,31,2
31,3,0,32,1
31,1,0,33,2
31,3,0,34,40
31,2,0,35,1
31,1,0,36,40
31,4,1,37,3
31,0,0,38,2
31,0,1,39,40
32,0,1,0,3
32,2,1,1,1
32,1,0,2,1
32,4,0,3,3
32,1,0,4,40
32,1,0,5,40
32,1,0,6,40
32,0,1,7,3
32,2,0,8,3
32,0,1,9,1
32,1,1,10,40
32,2,0,11,3
32,0,1,12,2
32,4,0,13,1
32,1,0,14,2
32,0,0,15,1
32,0,1,16,3
32,2,1,17,1
32,0,0,18,3
32,0,1,19,1
32,4,0,20,3
32,2,0,21,1
32,0,0,22,3
32,4,0,23,40
32,2,0,24,3
32,3,0,25,3
32,3,0,26,3
32,0,1,27,3
32,3,1,28,2
32,0,1,29,1
32,2,1,30,2
32,3,0,31,2
32,4,0,32,40
32,4,1,33,3
32,2,0,34,2
32,0,0,35,1
32,4,1,36,1
32,2,1,37,2
32,1,1,38,3
32,0,0,39,3
33,1,0,0,1
33,3,0,1,3
33,4,1,2,1
33,3,1,3,1
33,4,0,4,2
33,2,0,5,3
33,2,0,6,1
33,1,1,7,1
33,2,0,8,40
33,2,1,9,3
33,0,1,10,2
33,2,1,11,1
33,3,0,12,3
33,1,1,13,3
33,1,1,14,1
33,3,0,15,2
33,4,0,16,3
33,0,1,17,2
33,2,0,18,1
33,4,1,19,1
33,4,0,20,1
33,4,0,21,3
33,3,1,22,3
33,1,0,23,2
33,3,0,24,2
33,0,1,25,3
33,3,1,26,3
33,0,1,27,3
33,0,0,28,40
33,1,0,29,1
33,1,1,30,1
33,1,1,31,2
33,1,0,32,2
33,2,0,33,3
33,2,1,34,1
33,1,1,35,3
33,3,1,36,3
33,1,0,37,40
33,3,0,38,40
33,2,0,39,1
34,1,1,0,3
34,4,1,1,2
34,1,1,2,1
34,1,1,3,1
34,2,1,4,1
34,3,1,5,2
34,4,1,6,2
34,3,0,7,1
34,1,0,8,3
34,4,1,9,3
34,0,1,10,3
34,2,0,11,1
34,0,1,12,3
34,2,1,13,1
34,2,1,14,1
34,1,0,15,2
34,3,0,16,2
34,3,1,17,1
34,4,1,18,2
34,1,1,19,1
34,1,1,20,1
34,3,0,21,1
34,1,0,22,2
34,4,1,23,3
34,0,0,24,2
34,0,1,25,1
34,1,1,26,1
34,1,0,27,3
34,2,1,28,1
34,3,0,29,1
34,3,0,30,1
34,0,0,31,40
34,3,1,32,2
34,1,0,33,1
34,2,0,34,1
34,1,1,35,3
